ano,codigo_ibge,municipio,populacao_total,prestador,IN023,IN015,IN049,FN033
2023,5106422,Peixoto de Azevedo,35695,Autarquia / Servico Municipal (SANEMAT ou similar),79.9,3.6,42.5,234797.76
2023,5106455,Planalto da Serra,2637,Autarquia / Servico Municipal (SANEMAT ou similar),75.9,13.4,39.5,95606.73
2023,5106505,Poconé,33386,Autarquia / Servico Municipal (SANEMAT ou similar),68.1,6.1,49.5,592215.4
2023,5106653,Pontal do Araguaia,6972,Autarquia / Servico Municipal (SANEMAT ou similar),71.5,33.4,52.4,172144.49
2023,5106703,Ponte Branca,1525,Autarquia / Servico Municipal (SANEMAT ou similar),86.0,0,33.6,37504.56
2023,5106752,Pontes e Lacerda,46105,Autarquia / Servico Municipal (SANEMAT ou similar),82.3,42.4,46.9,0
2023,5106778,Porto Alegre do Norte,12849,Autarquia / Servico Municipal (SANEMAT ou similar),69.8,0,39.7,419636.24
2023,5106802,Porto dos Gaúchos,5344,Autarquia / Servico Municipal (SANEMAT ou similar),69.9,3.5,41.7,199041.99
2023,5106828,Porto Esperidião,12176,Autarquia / Servico Municipal (SANEMAT ou similar),62.2,32.9,55.6,309040.41
2023,5106851,Porto Estrela,2794,Autarquia / Servico Municipal (SANEMAT ou similar),71.7,0,51.7,106678.84
2023,5107008,Poxoréu,15936,Autarquia / Servico Municipal (SANEMAT ou similar),71.6,16.4,51.0,440950.89
2023,5107040,Primavera do Leste,63876,Autarquia / Servico Municipal (SANEMAT ou similar),75.1,14.2,65.9,937478.69
2023,5107065,Querência,18386,Autarquia / Servico Municipal (SANEMAT ou similar),71.5,13.1,59.8,595108.22
2023,5107107,São José dos Quatro Marcos,18788,Autarquia / Servico Municipal (SANEMAT ou similar),59.1,2.0,39.9,140492.71
2023,5107156,Reserva do Cabaçal,2754,Autarquia / Servico Municipal (SANEMAT ou similar),65.9,17.4,58.3,48210.36
2023,5107180,Ribeirão Cascalheira,10450,Autarquia / Servico Municipal (SANEMAT ou similar),74.4,13.7,38.5,181014.27
2023,5107198,Ribeirãozinho,2439,Autarquia / Servico Municipal (SANEMAT ou similar),72.1,12.6,35.4,26324.13
2023,5107206,Rio Branco,5147,Autarquia / Servico Municipal (SANEMAT ou similar),70.1,10.3,69.6,116707.05
2023,5107248,Santa Carmem,4600,Autarquia / Servico Municipal (SANEMAT ou similar),74.1,3.3,40.0,143154.42
2023,5107263,Santo Afonso,3164,Autarquia / Servico Municipal (SANEMAT ou similar),80.9,13.4,59.8,78320.72
2023,5107297,São José do Povo,4102,Autarquia / Servico Municipal (SANEMAT ou similar),75.8,26.1,55.0,0
2023,5107305,São José do Rio Claro,21351,Autarquia / Servico Municipal (SANEMAT ou similar),72.3,11.2,53.9,746731.56
2023,5107354,São José do Xingu,5646,Autarquia / Servico Municipal (SANEMAT ou similar),67.7,0,42.5,134839.31
2023,5107404,São Pedro da Cipa,4823,Autarquia / Servico Municipal (SANEMAT ou similar),61.9,1.2,33.6,246864.5
2023,5107578,Rondolândia,4069,Autarquia / Servico Municipal (SANEMAT ou similar),78.4,21.5,39.7,0
2023,5107602,Rondonópolis,239613,SAAER,87.5,62.1,43.5,1489155.47
2023,5107701,Rosário Oeste,16999,Autarquia / Servico Municipal (SANEMAT ou similar),80.0,25.7,54.6,676056.6
2023,5107743,Santa Cruz do Xingu,2700,Autarquia / Servico Municipal (SANEMAT ou similar),63.9,0,39.3,27992.74
2023,5107750,Salto do Céu,3226,Autarquia / Servico Municipal (SANEMAT ou similar),54.0,13.7,52.1,113434.45
2023,5107768,Santa Rita do Trivelato,3602,Autarquia / Servico Municipal (SANEMAT ou similar),77.1,5.0,61.9,148994.9
2023,5107776,Santa Terezinha,8547,Autarquia / Servico Municipal (SANEMAT ou similar),66.9,25.8,55.2,236193.24
2023,5107792,Santo Antônio do Leste,5459,Autarquia / Servico Municipal (SANEMAT ou similar),72.3,0,43.6,47159.45
2023,5107800,Santo Antônio de Leverger,17188,Autarquia / Servico Municipal (SANEMAT ou similar),64.1,0.3,48.5,140289.44
2023,5107859,São Félix do Araguaia,11934,Autarquia / Servico Municipal (SANEMAT ou similar),81.6,28.3,34.6,617240.56
2023,5107875,Sapezal,27485,Autarquia / Servico Municipal (SANEMAT ou similar),63.7,13.1,45.6,1288273.65
2023,5107883,Serra Nova Dourada,1705,Autarquia / Servico Municipal (SANEMAT ou similar),63.3,4.7,52.1,34851.18
2023,5107909,Sinop,148960,Aguas de Sinop (concessao privada),99.4,78.2,31.5,18500000.0
2023,5107925,Sorriso,94941,Autarquia / Servico Municipal (SANEMAT ou similar),82.9,73.5,37.7,869668.08
2023,5107941,Tabaporã,9357,Autarquia / Servico Municipal (SANEMAT ou similar),74.7,0,57.5,0
2023,5107958,Tangará da Serra,107631,Autarquia / Servico Municipal (SANEMAT ou similar),95.4,61.8,32.8,3159709.47
2023,5108006,Tapurah,14380,Autarquia / Servico Municipal (SANEMAT ou similar),68.1,34.7,28.0,544609.01
2023,5108055,Terra Nova do Norte,9284,Autarquia / Servico Municipal (SANEMAT ou similar),85.3,13.0,27.9,345403.69
2023,5108105,Tesouro,3761,Autarquia / Servico Municipal (SANEMAT ou similar),72.9,23.1,44.1,132792.46
2023,5108204,Torixoréu,3487,Autarquia / Servico Municipal (SANEMAT ou similar),73.5,1.2,38.8,159456.47
2023,5108303,União do Sul,3455,Autarquia / Servico Municipal (SANEMAT ou similar),69.4,8.4,65.2,57615.83
2023,5108352,Vale de São Domingos,3124,Autarquia / Servico Municipal (SANEMAT ou similar),64.9,10.4,52.3,97803.24
2023,5108402,Várzea Grande,290383,Aguas Varzea Grande (concessao privada),94.4,53.4,32.1,8927791.59
2023,5108501,Vera,11731,Autarquia / Servico Municipal (SANEMAT ou similar),80.2,32.6,57.3,411768.3
2023,5108600,Vila Rica,26946,Autarquia / Servico Municipal (SANEMAT ou similar),65.1,2.0,35.6,670931.25
2023,5108808,Nova Guarita,4407,Autarquia / Servico Municipal (SANEMAT ou similar),76.8,37.4,56.1,155774.93
2023,5108857,Nova Marilândia,3332,Autarquia / Servico Municipal (SANEMAT ou similar),78.1,6.5,38.9,93313.76
2023,5108907,Nova Maringá,9056,Autarquia / Servico Municipal (SANEMAT ou similar),71.3,7.5,56.7,218909.23
2023,5108956,Nova Monte Verde,9375,Autarquia / Servico Municipal (SANEMAT ou similar),79.2,6.6,46.1,407568.69
